"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"X11Lbeta";6,91524271734599;6,72077293899824;6,72201007084239;6,9957366167574;6,24095697767708;6,28952266157803;6,1944717136105;8,93825005625081;7,96411710368272;8,34794807819138;8,7094548422157;7,87283117223942;8,18646807284231;8,15387222262836;8,116742691698;7,82950804099363;7,66899724427203
"sesB";10,5070188933321;10,664688487398;10,6454778855917;11,2878493030278;10,8813962663301;10,9596710210291;10,7019551007365;9,4886545572505;9,57211791305822;9,55912091420418;9,57166318479951;9,61187945593043;9,79237841158798;9,08375719843882;9,51924528569116;9,43716730758137;9,30416337264346
"CG1537";5,53928782844965;5,06048485588216;4,99460958796755;5,33839352965636;5,03944335145183;5,20763477649979;4,61394094366179;4,37101009633111;5,08623999425767;5,0085701017592;4,66936107254196;4,7673266203086;4,64216730724274;4,76884213490042;4,35877704780729;4,15276968372235;3,79761485839529
"Lint-1";5,55430362463678;5,78588129113077;5,36395740705011;5,73012979916734;5,43898813697023;5,17309225663143;5,59163553674254;7,47102664718281;7,11984129138687;7,43382134352702;7,43772452886975;7,01187412586596;7,22566021845999;7,36773381593653;7,40369092622061;7,20197375809132;7,23340474307224
"Kap3";4,30187989484817;4,11990924639321;3,99657238054318;4,24560942909842;3,98771743718198;4,04061411411726;4,04968463343436;5,3238431762994;5,24044006842882;5,03869910853043;5,64021705180872;4,8239505698034;5,03558862430622;5,22383992662304;4,70333758746697;4,73105785917765;4,44517160822018
"CG11752";7,08825465231755;7,18265210631287;7,40202852453592;7,13120486927371;6,96721117474362;7,08472521487999;7,28625825571294;5,87591910584679;6,03240775076031;5,91605339957501;6,16580250657791;6,18664815520202;5,9951005880917;6,31763785170968;6,21714691569057;6,24215958080982;6,38211678901474
"Cyp4g15";7,83067193386628;7,91527612992578;8,11330325552409;7,913791463593;7,8244957597496;8,2552082302603;8,13897463260839;6,64391115699991;6,72696627464026;6,56827540519483;6,54769804829979;6,31851096034565;6,57137195950019;6,48417332127982;6,06194885038573;6,16826349228315;5,92812918619205
"Kmn1";6,456306584273;6,46861490200902;6,37776178111566;6,78993156145554;6,78740149273392;6,5231695282413;6,34144385221616;5,1721183125251;6,11411662419921;5,65748937991188;5,61065517941073;6,3603306195951;5,59399967461549;5,04042018611841;5,26285464180217;5,25314842599917;5,46293179881174
"prtp";7,3579133861161;7,54297419758297;7,40249985125383;8,08391522575559;7,59773600808749;7,49708320472641;7,23853770180281;9,39055950046786;8,95893426815435;9,01146291616484;9,22951218087298;8,70461911818953;8,71143397281539;8,81055479370192;9,18385142081243;8,91868420609476;9,23860716397849
"regucalcin";6,83017106367801;7,71428285032584;8,13081542778169;6,82446934028532;9,17301713231592;8,21063006888409;8,8042064036276;6,9629772193279;6,59234060258568;7,17574738703645;6,82930781964209;6,33389946711642;6,93195863209864;7,1960890201098;7,42272813319166;9,06767638744094;8,37305816288971
"Lsp1alpha";5,18140653745653;6,74387454303167;6,94670991186516;5,3174783793146;8,85460804297657;7,89220633028883;8,22525505664361;3,41622331272064;3,59900459098782;3,61106241291184;3,6760700498784;3,81093826324449;3,48003348849665;3,47529079454179;3,55547933689699;3,53131236587229;3,78028638932046
"Tomosyn";8,17318237987271;8,19421221436345;8,00090303706929;8,31256896641759;8,00866142056549;7,72730128901085;7,98842854843892;7,09299538139527;6,74686737756581;7,17199586222873;7,2676661897436;6,83120499561074;7,24079218111796;7,24524402073938;5,96823973693708;6,13240824719231;5,72556016289879
"CG1764";8,00834348246397;7,64898166484048;7,90698091358437;8,12375118495907;7,74943937203785;7,85841604987408;7,67341908244883;6,60919594187018;6,84031059337589;6,83979996109031;6,11040056558759;6,53215078382451;6,50821307384495;6,46309218852745;7,05551256214076;7,02377334591707;7,0809219818877
"Tango2";4,68558538915526;4,6459010043263;5,02416393383831;5,36317340472296;5,04380162110314;5,32696771309543;4,91622489309022;5,77411584210066;6,01125415484701;5,80172098823519;5,74326561435055;5,78773489160944;5,89438905416166;6,1158575867822;6,38566433029056;6,50470612699658;6,57277270915223
"CtsB1";9,08771024366298;9,14324317566373;9,28640167062082;9,34503471536333;9,15180788547215;9,28320517739822;9,06052823852768;10,7095276695296;10,0729684316034;10,3438475897305;10,8214579111353;10,1929086839988;10,4165552620197;10,6791998225327;10,8284695874105;10,6102343413282;10,5024861805732
"Clic";5,10330702152847;5,82788486633546;6,13464367514882;5,91076683676247;6,54506215135694;6,51032511986196;6,34600521804953;7,24938167140763;7,68626017421064;6,89382791328516;7,16514607515193;7,59080651379002;6,96991523908544;7,28180084754489;7,49093392732031;7,32863997967273;6,91447123984263
"l(1)G0007";6,50638423175318;5,99436445780352;6,27795887431221;6,21658180250111;5,88221372176876;6,27013289615165;5,88227841992261;7,56362152046544;6,85706079490482;7,29543355589992;7,68095726412195;6,98051274229954;7,24096137401986;7,47763312733134;7,20122038266373;7,26293990430062;6,92981051607086
