"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"151586_at";8,5374881129657;8,49977856764046;8,47294131782183;9,01834577866371;8,52023930337795;8,23150327270547;8,33157784402307;9,26533366979689;9,30912623327568;9,17851662744111;9,03075102416101;8,9329057294477;9,39409886053539;8,66201687972537;8,91685575099062;9,0562273371611;9,09227604124042
"147953_at";6,17679456393286;5,85026250662114;5,73496073214518;5,80169230145596;5,49160908503519;5,68824384541853;5,78858670472227;6,32318429464074;6,09807632720055;6,32286891179089;6,06508666235008;5,76096398697141;6,24406521510954;6,37342295009944;6,82336753939918;6,42480785734118;6,31093519946379
"148125_at";5,70966238822023;6,02501911247227;5,66687278511773;6,36487844853107;5,73264827966037;5,5891099786899;5,50077367824439;4,9806226067801;5,34591198013567;5,32943558721703;5,09092371693069;5,19006797848184;5,35379001430301;5,39202695614028;5,35717592268044;5,23018732547479;5,38396362274874
"143541_at";6,28126945754035;6,28360709355828;5,72630884938873;6,56151089124632;6,08923571030582;6,02127251985901;5,59730315516343;6,79645759609072;6,7303950677658;6,31707914996009;6,56094887062273;6,42414130031359;6,34917490224122;6,11492714114841;6,50642770730973;6,59829740968902;6,79684304904188
"153553_at";5,27970828168382;5,09998493402451;5,02825721687571;5,1500560469647;5,11687663076649;5,14066869341694;4,89943734141432;5,8648832954159;5,59011645450777;5,93018755053391;5,75475282544366;5,63976824352356;6,01256469574233;5,85978999491601;5,41959312431897;5,30512976706923;5,03102925019166
"153323_at";5,43606387325925;5,76189650961974;5,71891552934426;6,07778224431282;5,58218150654024;6,17198576981644;5,80658425319789;4,96635550035957;4,92722734806874;5,45117447423196;5,04601955553204;5,02797399589083;5,14225352667534;5,00765694363071;5,03349132511223;4,82447338284039;5,00276262676525
"152014_at";5,87707948067146;5,45512017836862;5,2216972469461;5,65357936111792;5,63800385951104;5,24608006651958;5,16000561221574;6,44289547151838;6,50157762041117;6,57281423885929;5,87500420360114;5,79248546529076;6,08512706728147;6,04066016691207;5,83841368934809;5,84794427626885;5,86914507668881
"152271_at";11,7637785193178;11,7710600093751;11,6830631981686;11,6723529017685;11,65391765268;11,4798895013308;11,7107050290919;10,5362300929616;11,0522037311755;11,176866695426;10,6430277837276;10,9732668948928;11,0688816571066;10,9805265022357;11,3711295617047;11,0718020805239;11,1402356352605
"144079_at";8,5773839403731;8,54813109298629;8,63962758182934;8,68219557716257;8,89775348925672;8,90764918146709;8,55481238855964;9,40127223927567;9,26604468416737;9,30712625467047;9,45869768637647;9,25644202143053;9,21572264278487;9,34910915490751;9,62077194273331;9,76194303558811;9,55595283790476
"153376_at";6,82195859861388;7,19512012373518;6,98676000709661;7,23018160761521;7,23382153358778;7,02487624630297;6,28949524689055;8,18718460168447;7,83475576258643;7,52013193155302;8,05942225602526;7,67652983009592;7,36851233107749;7,65545685193192;8,00144604763078;7,84651559743284;7,71640161902299
"144351_at";6,51506621270525;6,55862812765536;6,40888037256792;6,72801340175188;6,70907696766531;6,80565097150526;6,2889263282882;6,02062511221598;6,17271994392867;6,36542534024613;5,61705078378726;6,03551369029447;5,77791911747;5,92253687419277;5,79241106172452;5,87642024031117;6,00996097280508
"152503_at";9,66181478313585;9,31409041534067;9,50825310256837;9,84612011197417;9,58124896587008;9,20380706151997;9,42262342103867;9,68715510458499;9,5662835214048;9,76217327716566;9,9078553413286;9,7068085702303;9,82901340396739;9,8633727123897;9,85963255992461;9,54260174992521;9,41884665881899
