"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"141234_at";5,52497040462738;5,21693772840837;5,17039546791217;5,83071245033629;5,34010219495947;5,5612884992536;5,27290218396108;5,64578006448344;5,87796355635019;5,96669776850251;5,69231928232474;5,76037729946378;5,73465513680578;5,40296677629574;5,86219990235555;5,43930191496077;5,66132297423114
"141235_at";5,79795751990218;5,99231877713631;6,09997304115165;6,25357427049597;5,78861936821283;5,70760930814109;6,10021790766976;5,99603687332426;6,3994412628431;6,06764645400112;5,66784116936061;6,07249977516378;6,2294647222828;6,01399159313706;5,86598722507958;5,56953454210018;5,78400046198143
"141236_at";5,84390674452144;5,78486160735135;5,79094091121668;6,11540525935503;5,77776740125521;5,64331995485889;5,63608287354079;5,81676796520075;6,0342134788423;6,16458344864357;5,70162515375984;5,71073171969973;6,02992126822061;5,76235744291239;6,26614960113761;6,13404525544709;6,2411370486467
"141237_at";7,62715826600982;7,28507295138074;6,90720524121593;7,79638048131998;7,60692521762043;7,4784543975082;6,86009634215335;6,88346002990225;6,90714829755857;7,321687032222;7,11654453461683;7,06131150968705;7,07165925859536;6,48913310194755;7,07780083323976;6,92051783244635;6,78758111053636
"141238_at";3,51108458748092;3,42958704249345;3,40255954555434;3,22669385474372;4,58161449824894;3,45859019104101;3,77879376439585;3,21749394065583;3,56200397715538;3,7964159006884;3,23318818968793;3,617216398606;3,30473454914101;3,46791708147038;3,15387815681364;2,97185297179723;3,52666705991106
"141239_at";2,6754118513917;2,92902987518319;2,84154985060684;2,65865948984525;2,78703522707087;2,59885809067463;3,19548795125021;2,30112509663891;2,49674013012913;2,41979164857048;2,52656642198676;2,62566274580296;2,74441654095129;2,74109945501079;2,46870684688918;2,58439466696845;2,59318268785138
"141240_at";5,37088609296706;5,06991379271841;4,86594520259258;5,52810372500844;5,57623578686483;5,33669269430496;5,04893740481301;4,90682650519826;5,5789012735045;5,59662261395796;4,77845595493399;5,41297924406945;5,63401849916856;5,05603312301936;5,09611987917332;4,94005516171558;6,74526517855719
"141241_at";6,24569444737579;6,40111162507184;5,85453324333738;6,50838239046239;6,16123664343748;6,3376244831535;6,01276847718194;6,87900310234168;6,61767670356996;6,98205231373329;6,60879025210065;6,56241762228887;6,74781414216984;6,83265303142765;6,63735277338617;6,67215691323338;6,42791264746843
"141242_at";6,52685558173441;7,06154641918107;6,6774435713505;6,74097768064351;6,71767034144211;6,48062386768488;6,71908054826673;7,70696591805864;7,50364747585355;7,51784411934112;7,27282655393095;7,49630038920125;7,60645325812377;7,20143291117693;7,1962183884019;7,37415977869128;7,4064369347841
"141243_at";4,31700979662556;3,97011005316729;4,05446503343723;4,47667163152689;4,27546322223931;4,1489895351403;4,56054970216829;4,67355965575609;4,7410521467368;4,38750010403139;4,67840013397321;4,07573343426923;4,27837667976612;4,40266039256526;4,24720607964729;4,17688153630535;4,26381453560093
"141244_at";4,94080764672056;4,75000116738419;4,59287590287615;4,87831194226153;4,80988557586836;4,87029178615526;4,65684298652678;5,20013051394031;5,2850667375;5,66695243628299;5,02682813690624;4,78596551284027;5,33793840252082;5,24928143939213;5,00133140097955;4,96556690454387;5,01081868514547
"141245_at";4,24974598750232;4,05168516371575;4,49520862929131;4,69547257892079;4,34869248414891;4,8849501075116;4,61207447643984;3,9139493378113;3,94309435661411;4,39141936138001;3,88131287370685;3,64113427675834;4,09273696529433;3,85785335661542;4,02137201274307;3,85827302215813;4,15703048692311
"141246_at";8,31748136348295;8,29384249047852;8,55744611564631;8,41754704704326;8,35599652828414;8,21844679897852;8,28184965542399;7,73816306117091;7,83769584232782;8,11755637427859;7,76183976728543;7,74521358831626;7,82559217111904;8,02471709579987;7,90772756573457;7,77101481848448;7,88185649803017
"141247_at";6,83130306644122;6,66498299969222;6,60097387051302;6,55265716280819;6,48945536163861;6,53507715035384;6,65978639951885;6,35525778963921;6,56842508820248;6,54660255167076;6,62086633600131;6,59356273213103;6,314267470901;6,60118749904327;6,5443631974811;6,50147750007975;6,39426001727297
"141248_at";6,74843003943741;6,66465449369787;6,31261206444137;7,37372939904553;6,75731949478525;6,43867316552512;6,38006025524144;6,74327647995407;6,69202061415811;7,18684984431137;6,23480927452436;6,33731214944466;6,9191137851348;5,95424124547077;6,92175470911856;6,74369010749818;6,81381499002656
"141249_at";4,54241466121978;4,63636334723077;4,26896618126788;4,23201439986684;4,29875362733128;4,08677419724444;4,2552553802956;4,297503303674;3,97242999745961;4,34219030256975;3,99596363004168;4,17208032269193;4,22524850672118;4,35702411621414;4,29633425869826;4,04312902934502;3,96580415430306
"141250_at";6,01134997165152;5,55048816373305;5,58216008979375;5,68423940889053;5,69818442099198;5,58240588654515;5,9599031482359;5,56270464902793;5,32357681885057;5,90014150979599;5,24191442059702;5,24891188070479;5,33683134642219;5,57706318733422;5,66007281107115;5,59509071906982;5,65869379578238
"141251_at";5,64450849187018;6,11731026100241;5,98298356643259;5,93494608152738;7,07680350048574;6,98484444323271;6,25263595126229;6,89093880917906;6,63210945575993;6,78462612375161;6,78255209479921;6,46537525918145;6,58802274469499;6,42799677412142;6,50419245994249;6,52671400559594;6,78826123617662
"141252_at";3,92931644513094;3,74787998080463;3,25948145082937;3,51699748227403;3,54176576930623;3,66680949425613;3,08964149667946;3,45978381526806;3,33465619657843;3,36413162507838;3,432107538029;3,19796270122034;3,28984442238497;3,22113903331463;3,15185011682033;3,18921153153284;3,19580684099497
"141253_at";4,11781036311641;4,17469975149393;4,15897616272348;4,36270225314676;4,42391626165664;4,22255859364214;4,00400986218434;5,1762859042617;4,55474082481812;4,60893168986898;5,12766801649623;4,78518007334573;4,6533879602036;4,7138714936412;4,53344413337764;4,58817863671448;4,60372685380643
"141254_at";7,99183194320959;7,81423041987081;7,86696189370883;7,94337291786446;7,83301656481999;7,9736754807151;7,67061575319827;8,62891235683343;8,47823082896799;8,61869081594413;8,34488334880482;8,18821162428414;8,28508944138565;8,57998493079792;8,4949879889691;8,26388322911214;8,15288834295519
"141255_at";8,6459257051948;8,36434960978757;8,14891011711537;8,62817847899899;8,42224135176316;8,2772823182923;8,20416155032872;8,38266749304265;8,60396261021557;8,72340642946947;8,71895035287553;8,56121299826389;8,70726972549186;8,39899311548809;8,91447762501092;8,51451109615387;8,14008377471655
